1 [128294744528832] INFO perfrun.launcher <> - Launcher main begin
2 [128294744528832] INFO perfrun.launcher <> - MessageCatalogInit finished
2 [128294744528832] INFO perfrun.launcher <> - Launcher instance created
2 [128294744528832] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ivan/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 127 --context-value-list 
31 [128294744528832] INFO perfrun.launcher <> - create msngr2::ICliToolContext
31 [128294744528832] INFO perfrun.launcher <> - create file finder object
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
33 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = true
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = true
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.8.0-51-generic
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
34 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
35 [128294744528832] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
35 [128294744528832] INFO perfrun.launcher <> - Application exit code: 0
35 [128294744528832] INFO perfrun.launcher <> - Exit code: 0
